Address,Price,Parcel,Date
514 E Johnson St,270000,70913313139,2004-08-01
215 E Mifflin St,225000,70913331123,2003-07-01
322 E Mifflin St,244000,70913323203,2012-07-01
322 E Mifflin St,274000,70913323203,2007-04-01
322 E Mifflin St,250000,70913323203,2002-09-01
515 E Mifflin St,385000,70913315036,2017-07-01
515 E Mifflin St,265000,70913315036,2012-01-01
515 E Mifflin St,238000,70913315036,2007-05-01
9 N Baldwin St,182500,70913102053,2014-03-01
9 N Baldwin St,155000,70913102053,2003-11-01
19 N Baldwin St,190000,70913102037,2016-11-01
19 N Baldwin St,170000,70913102037,2005-04-01
214 N Baldwin St,242200,70913105172,2013-09-01
214 N Baldwin St,170000,70913105172,2005-03-01
214 N Baldwin St,153500,70913105172,2002-04-01
111 N Blair St,130000,70913309162,2014-05-01
111 N Blair St,206700,70913309162,2006-04-01
111 N Blair St,157500,70913309162,2002-10-01
115 N Blair St,201000,70913309146,2012-12-01
115 N Blair St,251100,70913309146,2006-04-01
115 N Blair St,190000,70913309146,2002-10-01
119 N Blair St,220000,70913309138,2014-02-01
119 N Blair St,285000,70913309138,2006-07-01
217 N Blair St,205000,70913310177,2013-01-01
217 N Blair St,215000,70913310177,2007-10-01
217 N Blair St,228000,70913310177,2003-08-01
221 N Blair St,168000,70913310169,2002-12-01
106 N Blount St,125000,70913309352,2011-10-01
210 N Brearly St,178000,70913205196,2012-09-01
647 E Dayton St,239900,70913309013,2006-04-01
820 E Dayton St,229000,70913210111,2006-02-01
822 E Dayton St,229000,70913210129,2006-03-01
842 E Dayton St,167500,70913210187,2012-04-01
930 E Dayton St,169900,70913205097,2010-04-01
930 E Dayton St,142000,70913205097,2003-07-01
940 E Dayton St,170000,70913205138,2016-02-01
1016 E Dayton St,224900,70913114066,2007-08-01
1116 E Dayton St,226000,70913110080,2013-05-01
1116 E Dayton St,171000,70913110080,2009-09-01
1149 E Dayton St,280000,70913109265,2016-02-01
1222 E Dayton St,175000,70913105099,2015-03-01
1233 E Dayton St,211000,70913106295,2010-07-01
1305 E Dayton St,180000,70913103275,2008-11-01
1305 E Dayton St,137000,70913103275,2002-12-01
1320 E Dayton St,278000,70912403197,2004-06-01
1323 E Dayton St,146000,70913103225,2002-05-01
106 N Few St,250000,70913109215,2017-06-01
110 N Few St,169000,70913109231,2008-06-01
112 N Few St,150460,70913109249,2012-08-01
211 N Few St,185000,70913105031,2005-01-01
316 N Few St,170000,70913111278,2016-05-01
